datetime,granularity,style,variation,model,n_samples,precision,recall,micro_f1,macro_f1,result_file,f1_building,f1_location,f1_organization,f1_other,f1_art,f1_person,f1_building-hotel,f1_building-other,f1_location-GPE,f1_organization-showorganization,f1_product-airplane,f1_person-artist/author,f1_art-music,f1_person-other,f1_event,f1_product,f1_art-other,f1_event-sportsevent,f1_location-park,f1_organization-other,f1_product-other,f1_product-ship,f1_product-weapon,f1_person-soldier,f1_other-astronomything,f1_organization-sportsleague,f1_organization-sportsteam,f1_art-film,f1_building-restaurant,f1_person-actor,f1_building-sportsfacility,f1_organization-company,f1_organization-government/governmentagency
2026-02-10 16:22:44,fine,pl,backtrans_sp,qwen2.5:7b,5,0.1111,0.1111,0.1111,0.1111,fine_pl_backtrans_sp_qwen2.5:7b_20260210_162238.json,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,
2026-02-10 16:22:51,fine,pl,backtrans_tu,qwen2.5:7b,5,0.2,0.1111,0.1429,0.1111,fine_pl_backtrans_tu_qwen2.5:7b_20260210_162244.json,,,,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-02-10 16:22:54,fine,nl,v0_original,qwen2.5:7b,5,0.4,0.2222,0.2857,0.2222,fine_nl_v0_original_qwen2.5:7b_20260210_162251.json,,,,,,,1.0,0.0,0.0,0.0,,,,0.0,,,,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,
2026-02-10 16:22:57,fine,nl,lexical_substitution,qwen2.5:7b,5,0.3333,0.2222,0.2667,0.2222,fine_nl_lexical_substitution_qwen2.5:7b_20260210_162254.json,,,,,,,1.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,1.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,
2026-02-10 16:23:02,fine,nl,reodering,qwen2.5:7b,5,0.0909,0.1111,0.1,0.1111,fine_nl_reodering_qwen2.5:7b_20260210_162257.json,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,
2026-02-10 16:23:06,fine,nl,sentence_reordering,qwen2.5:7b,5,0.25,0.2222,0.2353,0.2222,fine_nl_sentence_reordering_qwen2.5:7b_20260210_162302.json,,,,,,,1.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,1.0,0.0,0.0,,,0.0,,0.0,0.0,,,,,,
2026-02-10 16:23:09,fine,nl,backtrans_ch,qwen2.5:7b,5,0.375,0.3333,0.3529,0.3333,fine_nl_backtrans_ch_qwen2.5:7b_20260210_162306.json,,,,,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,1.0,1.0,0.0,,,,,0.0,,,,0.0,,,
2026-02-10 16:23:14,fine,nl,backtrans_sp,qwen2.5:7b,5,0.0,0.0,0.0,0.0,fine_nl_backtrans_sp_qwen2.5:7b_20260210_162309.json,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2026-02-10 16:23:17,fine,nl,backtrans_tu,qwen2.5:7b,5,0.1429,0.1111,0.125,0.1111,fine_nl_backtrans_tu_qwen2.5:7b_20260210_162314.json,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,
2026-02-10 16:23:20,coarse,pl,v0_original,qwen2.5-coder:7b,5,0.7,0.7778,0.7368,0.6111,coarse_pl_v0_original_qwen2.5-coder:7b_20260210_162317.json,1.0,1.0,1.0,0.0,,0.0,,,,,,,,,0.0,0.6667,,,,,,,,,,,,,,,,,
